symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,EU.C021.C1,EU.C021.C2,EU.C021.C3,EU.C021.C4,EU.C021.C5,EU.C021.C6,EU.C021.C7,EU.C021.C8,EU.C021.C9,EU.C021.C10,EU.C21.ES_c21
A1BG,46.648645084634445,-0.005817466837878853,0.2713425388282106,0.9598561875437913,0.98509037473707,49,52,50,40,47,34,13,36,30,57,87
A1BG-AS1,104.35836437068697,-0.018612852311919535,0.18547758847136142,0.8684915021426887,0.9486610004026561,141,126,117,93,138,107,65,103,100,86,78
A2M,310.33413832824976,-0.08976309358906087,0.32218776619568784,0.449980754349454,0.7193751298480018,602,126,138,158,142,46,155,123,132,86,1324
A2M-AS1,91.93223744335684,-0.08507518439946105,0.2469024806037457,0.4838179937249757,0.7446578356733012,41,126,152,142,39,108,104,94,113,65,41
A4GALT,89.79647594809506,-0.7148178215177965,0.42663710180826536,0.0023278987202991165,0.023262269797459392,14,136,192,166,104,102,55,53,48,82,38
AAAS,654.0653519956222,-0.024162894022965273,0.1289225596663345,0.8031170953951611,0.9230710162840271,886,554,757,587,792,473,386,628,614,444,876
AACS,840.8123735116671,0.1469553837618226,0.12901813110619337,0.13604411950240397,0.38509318654876107,879,779,1049,826,1181,921,639,998,838,736,546
AADAT,427.0094991892307,-0.22537294597908225,0.22881303184484492,0.09205395939524914,0.30429609132269797,557,390,762,634,432,348,410,435,379,283,176
AAGAB,1536.1904930976782,-0.05725830599328223,0.125720064015063,0.5494995878568275,0.7867296668162911,1980,1416,1963,1603,1806,1535,1340,1620,1506,1315,976
AAK1,3327.286338500533,0.02485902213078661,0.11172468822451212,0.7790645854210074,0.913158284660675,5417,3608,5575,4057,3408,2951,3654,3289,3265,2482,955
AAMDC,141.12995324182796,0.06642735121962577,0.19407650501504398,0.5642789563006336,0.7977588698931487,97,88,173,133,299,206,94,146,104,121,134
AAMP,1325.1659970638068,-0.06967937359669442,0.17238747778224403,0.5314049169892272,0.775893384885604,1349,1182,1556,1090,2200,1539,715,1463,949,1116,1593
AAR2,775.5843962745442,0.08322629870889783,0.13198998671576814,0.3991747899170194,0.6833657100561454,831,740,925,750,805,789,606,845,759,600,673
AARD,13.898706004012569,0.1311280270554383,0.3503951941719644,0.29223670036594446,0.5825198069369154,0,6,15,18,16,4,10,23,16,19,22
AARS1,3451.1924323928833,0.03378092753589537,0.13023601922294326,0.7290295549840633,0.8898025773141555,6123,2939,3334,2817,3360,2319,1472,3179,2788,2042,6939
AARS2,414.3330954796333,0.1729342234934968,0.15479524035518072,0.11609472852365668,0.34966626567244213,597,261,395,245,432,287,192,365,285,241,863
AARSD1,354.6754348009921,0.9630690038039432,0.2518407964142902,3.450172472432948e-6,1.0071849640679259e-4,521,222,246,194,570,350,257,386,324,303,425
AASDH,316.8087777186059,-0.1686848190143674,0.18620028226007482,0.15831637583110467,0.4176052689877563,364,309,496,411,336,305,303,327,286,201,195
AASDHPPT,1899.9328654104827,0.03241212841334882,0.10526465103869302,0.702935088030159,0.8772503811605079,2027,1810,2876,1921,2075,1880,2026,1915,2113,1583,1001
AASS,1379.767378631549,0.49044086382864027,0.17786415032975617,2.774246439419385e-4,0.004399275123022306,1631,830,1725,1070,1546,1272,1546,1634,1662,1234,1096
AATBC,21.30870228940955,-0.02385413295318785,0.3410892727764124,0.8193647436060248,0.9307314618185989,46,10,10,20,26,6,12,14,17,11,4
AATF,1000.6951791142961,-0.09686432649422035,0.14048365210888614,0.3442960649434385,0.6323898022687863,1445,905,1386,1044,1533,947,622,1040,860,856,708
AATK,57.158886140737565,0.03710043641301832,0.23262063542150482,0.7517622652009677,0.9003676878730281,34,56,60,32,56,23,33,45,37,53,127
ABAT,505.36543672410585,0.08874984997367664,0.13734757514431567,0.37970929441622764,0.6655990499825559,545,543,732,559,624,480,536,577,625,509,126
ABCA1,3554.9228619827363,-0.6575151145433903,0.1477750871069353,2.868725624816113e-7,1.1218262408238747e-5,3040,5494,7692,5742,3409,2802,3067,3357,3592,2801,412
ABCA10,8.959460365824576,0.08953145547585073,0.3509901087437523,0.43190618400023273,0.7074410324688288,2,23,17,3,12,4,9,9,8,12,3
ABCA11P,20.334186573622166,0.4451208645310713,0.6360825334743092,0.01887865324702984,0.10799443368239268,22,9,12,0,20,17,48,34,38,11,10
ABCA12,178.74015767093255,0.4107677400093317,0.36988272022781266,0.02314217992375635,0.12526033075101575,136,90,143,93,228,202,220,327,365,212,1
ABCA13,19.026337244372552,-0.15637614171143868,0.3846465154947532,0.21697595129068456,0.4980157298490516,17,36,62,15,21,15,14,1,10,21,15
ABCA2,836.9569008739408,-1.0119923532897384,0.2161374902118061,9.609742913536711e-8,4.182254331720417e-6,1106,1081,1350,1225,705,602,458,722,494,468,988
ABCA3,571.2198703954529,-0.7105042954271361,0.19539044053004814,8.511994242847012e-6,2.2668784667792568e-4,644,777,821,742,484,360,364,552,396,359,705
ABCA4,36.23127788612016,-0.08075277403728373,0.3043928458248417,0.49840105106933635,0.7549941713468002,16,16,25,21,15,27,26,22,21,12,166
ABCA5,374.864720636269,-0.5227854594050746,0.3248125887113784,0.005442726516321297,0.04455031733800638,298,437,601,362,402,333,340,306,385,255,28
ABCA7,478.29384382700476,-0.7537790585306426,0.2999918027308715,2.8960550799362293e-4,0.004562106389129732,277,707,799,637,539,416,268,452,347,318,399
ABCB1,27.207388401496917,0.07925597952546458,0.3450219419555283,0.48207273080190205,0.7431697744085977,19,32,41,12,8,10,20,26,16,22,8
ABCB10,548.459959349715,-0.13865803992412887,0.14358535601801709,0.18521844877731286,0.4572409310590731,532,619,791,552,723,454,499,537,455,419,503
ABCB4,8.248589768196195,-0.16760813673739655,0.4511884187601683,0.15213822558948026,0.4093518899210237,24,8,1,11,2,10,12,2,6,3,8
ABCB6,197.61509374499974,0.6631754591168567,0.397439086971632,0.0028224796707174166,0.026977541809753532,303,99,150,116,236,170,118,254,143,128,387
ABCB7,545.7149251814216,-0.024291597818573322,0.16293352772917152,0.8222064930463316,0.9322713431935132,623,499,686,457,694,482,444,630,492,412,545
ABCB8,652.8841768963965,-0.0503115128669712,0.12663856222594225,0.6003771419837474,0.8196480735206351,807,579,829,722,873,587,457,767,556,473,649
ABCB9,173.29688461960666,-0.010484108743104069,0.19019095151550325,0.9260824333862299,0.9713394769273408,165,171,240,198,246,170,112,155,154,166,116
ABCC1,1928.4904125943053,-0.2111684517811408,0.16104906083214038,0.06374879084852648,0.24420218159869128,2661,2328,2649,1888,1898,1406,1369,1864,1683,1369,2146
ABCC10,876.1994626278141,-0.04125077260761762,0.1156571988735735,0.6492405086978414,0.8456271190861482,970,982,1205,950,1083,772,673,1033,777,672,652
ABCC11,16.37474733920178,0.06752721751515685,0.3170125966870347,0.5588644157512344,0.7938944780962924,18,21,23,12,22,11,13,9,12,15,6
ABCC2,41.93864628290654,-0.10563268915188771,0.27716115132013375,0.39633315834323635,0.6807911817730029,86,21,26,27,33,25,13,44,31,32,94
ABCC3,38.29589120066768,-1.264656281047648,0.7620466314961774,4.6006945808527264e-4,0.006660523509351292,106,59,47,53,34,27,25,25,13,9,3
ABCC4,573.4396255461261,-0.10365456924692114,0.16776401930154491,0.3524574255886592,0.6402207036197248,734,540,861,627,627,523,475,603,544,525,316
ABCC5,1992.5311908223134,0.14013949147239552,0.14036797517185712,0.17532841451385858,0.4441377681476396,2661,1902,2653,1964,2459,1671,1706,1987,2008,1546,1568
ABCC6,186.55872323647188,-0.16944648741017673,0.21860681824377154,0.18119112393082812,0.4523267246365122,58,290,263,250,261,130,101,174,170,163,130
ABCC6P1,187.3620037047199,-0.48840878507028823,0.32594457160369456,0.00796641078337721,0.058938027142593115,85,231,441,349,196,227,147,223,136,131,30
ABCC6P2,32.06145085478321,-0.4505207667899933,0.4951676906449821,0.022076787994902772,0.12086498555373326,6,49,105,82,29,32,21,16,13,29,23
ABCC9,44.38420312427976,0.10664085740851732,0.29502401604029166,0.3907499798487984,0.6762092614276335,46,18,30,36,54,66,41,46,54,41,14
ABCD1,399.70745101904,-0.06748499928133261,0.15664376710617936,0.5291939699184294,0.774237385926085,591,435,642,420,558,370,195,458,312,308,311
ABCD2,12.650198577396482,0.21137373640357357,0.4463926356576171,0.11738925390813015,0.35216129077880653,18,0,11,5,18,27,11,12,13,11,14
ABCD3,1996.929314525178,0.1509667652192777,0.13775273280983955,0.1411926233914082,0.39328162644565035,1763,1938,2693,1849,2290,2026,2041,2171,2156,1635,973
ABCD4,897.2262469974071,-0.0019847506913226566,0.12634168930253412,0.9834636663334385,0.9941204855279228,1110,846,1209,785,1191,866,682,1054,747,625,875
ABCE1,2443.137411385647,0.24209644046570652,0.13181918406784038,0.01857389688554005,0.10669390542696762,3535,1915,3079,2042,2688,2168,2443,2546,2539,1855,2182
ABCF1,2397.4627319528986,-0.1528953322482951,0.1334419202909603,0.12918529765939635,0.37378896210649803,3104,2052,3135,2330,2940,2240,1729,2509,2091,1852,2209
ABCF2,1175.9060159761984,0.16703962432080527,0.16580337849027615,0.14139722057375187,0.39344289104157787,1589,932,1465,1217,1159,919,666,1255,963,869,1420
ABCF2-H2BK1,526.6415557564897,0.0748327296016773,0.17588212101671608,0.5051352723471771,0.759340005190238,702,665,471,494,688,663,530,579,591,447,0
ABCF3,733.7270915922953,0.1267690934135616,0.14213301854872465,0.22180673770545903,0.5036451299492606,982,606,926,588,1162,675,506,875,736,619,592
ABCG1,89.03071669982337,-0.5168112978953041,0.41734766254435485,0.011148393875622725,0.07411632775245847,39,159,275,218,63,48,49,67,77,54,0
ABCG2,487.4560829885402,-0.23744496923006836,0.17680644974467466,0.04907121936901281,0.20634379778992093,845,538,669,624,472,522,466,427,415,305,196
ABCG4,41.71865442115691,-0.27185572805704655,0.3973985947639165,0.0821569943259495,0.2841824753805768,22,78,86,53,83,12,39,23,27,28,23
ABHD10,590.2363839201619,0.13117015661620673,0.15663165231506868,0.22952640708154332,0.5125290827126063,677,525,804,629,695,576,481,634,607,464,407
ABHD11,148.2980239114452,-0.49301477139816247,0.2875110623908826,0.004886139047141484,0.041123361798976056,110,195,255,231,169,122,97,133,92,118,135
ABHD12,972.838700354469,0.16029099444224637,0.14974848767040103,0.13674099579498677,0.3863300019839557,1101,949,1231,1005,1301,919,648,1074,749,918,895
ABHD12B,16.200813668040805,0.03928354320342005,0.3353954442503335,0.7151742250923682,0.8821545806468832,4,10,50,19,4,22,13,22,9,10,4
ABHD13,966.2170117515815,-0.01267341989261673,0.10945878169303958,0.8846830142975606,0.955170234709215,910,901,1551,1101,1139,851,961,1060,972,786,370
ABHD14A,91.2619129541949,-0.36400801532904065,0.3206167999778323,0.029191113528462095,0.1465523793440349,122,79,164,141,104,48,55,65,45,60,118
ABHD14A-ACY1,24.144242185375322,0.020533222492410547,0.3611406121929218,0.8337200864025186,0.9358751001635525,21,11,35,43,0,19,5,34,10,10,12
ABHD14B,187.6810671480184,-0.6027793689456058,0.34295161436294996,0.0028927116617853675,0.027444601891188677,177,210,375,362,166,169,166,143,154,112,99
ABHD15,324.06308732286215,-0.015279731407660644,0.1508491113533729,0.8840680456673995,0.955170234709215,305,413,474,317,443,290,280,397,297,288,70
ABHD16A,608.4166930234516,0.10077135795909913,0.13512979588488164,0.315184816922901,0.6047984455273042,670,542,668,547,881,616,418,695,495,449,684
ABHD17A,805.9994690655675,-0.22421533466328503,0.15387883860937432,0.04480588311533513,0.1943295159116535,690,704,1341,753,1058,669,416,827,492,599,1879
ABHD17B,770.0531344612414,0.1940930543756284,0.17952429126976277,0.103358502378314,0.32539220827923965,840,611,864,541,1116,566,896,858,824,722,552
ABHD17C,172.45888576707435,7.264132302606049e-5,0.18942810060528448,0.9994864298135542,0.9997858027332851,292,152,179,155,158,143,198,134,137,106,190
ABHD18,563.4689340801384,-0.03366920571938376,0.1264595061462503,0.7254578180206528,0.8876452440323046,553,533,811,688,621,557,469,605,624,454,286
ABHD2,2094.3258912443544,-0.5185729443247451,0.16154181705815024,5.2745266483759095e-5,0.001096830459803836,3417,2452,3369,2588,1837,1722,1733,1852,1904,1344,1311
ABHD3,291.742536909413,-0.2176577728271766,0.19284298560553292,0.08020135666208128,0.2805199525646069,213,350,495,373,425,263,248,286,213,212,133
ABHD4,1785.0922533963055,0.05852674284824886,0.12267518560623208,0.5346187521265428,0.7781610811548998,2521,1791,2814,1996,2031,1545,1567,1872,1614,1540,898
ABHD5,517.5502774526411,-0.007086322362269249,0.157557060158696,0.9470142048167752,0.9798762667016057,613,485,737,613,531,462,569,487,571,450,198
ABHD6,146.3104934172138,-0.09708089247747023,0.22276512401890655,0.4219245533128208,0.7001477294582485,198,142,212,159,158,101,119,125,131,82,172
ABHD8,220.0974709699137,-0.10405437052075209,0.19208363327173092,0.37365303709218356,0.6599397249394219,193,255,360,208,207,180,89,249,177,148,426
ABI1,2526.7551470636167,3.236410231810025e-4,0.10929329782284126,0.9970418289434495,0.9990369631915492,1989,2485,4186,2810,3280,2587,3033,2526,2599,2050,623
ABI2,3356.0007736718576,-0.6197800081359753,0.22600037776420615,1.9770703705099715e-4,0.0033273027104312697,4721,3587,6124,3670,2632,2342,2897,2476,2525,1966,3824
ABI3,13.803273242802295,0.059557015400528796,0.32876974430690603,0.59543754816556,0.8174476838994098,38,10,9,11,9,0,3,12,9,6,30
ABI3BP,35.05225914115924,-0.09035704032679025,0.35219020784954486,0.42749156730904114,0.7045952216885174,26,21,36,53,36,21,20,8,26,25,10
ABITRAM,535.7235503290082,-0.21585618254059835,0.18355283741938083,0.07587129603724849,0.2712227300992649,674,545,1095,775,467,430,482,511,463,356,277
ABL1,3722.782482062637,0.10407636815379762,0.12059671433168435,0.26641175232420006,0.5538525199588511,5598,3533,4423,3282,4352,2785,2404,4030,3161,2721,4259
ABL2,3955.379184713253,0.9601653777113432,0.16228801290400252,1.6648354899429272e-10,1.2636101368666818e-8,4353,3151,4136,2632,4340,4490,4445,5129,4881,4345,1300
ABLIM1,5479.299144408739,0.3357423801471677,0.15995091250164242,0.004771567308080318,0.04032167556190545,6233,4290,5666,3961,7263,6035,6110,6606,6536,5591,2728
ABLIM2,20.67733841940681,0.1445269269082346,0.391975923459905,0.23502720490046788,0.5183832241799862,29,22,23,16,18,17,7,11,15,5,8
ABLIM3,183.8372624443499,-0.050835258213267245,0.16695752617033496,0.6425736433541637,0.8426392722580882,492,187,214,214,202,153,122,175,144,146,13
ABO,18.252006310316396,0.0541042236887742,0.3456614035751692,0.6145025938451594,0.8274400301912174,6,17,33,20,36,0,15,20,9,13,2
ABR,2290.8321401345434,-0.46982516882311687,0.17841721734749513,4.5161007112520677e-4,0.0065573782327380025,3685,2894,3591,2886,2182,1536,1300,2019,1663,1563,2745
ABRACL,716.5748583612395,-0.03626677669530594,0.13366306612673445,0.713954077179121,0.8818563476893566,693,599,992,707,1100,675,561,677,553,566,885
ABRAXAS1,370.1524983611099,-0.03575766507454628,0.17772812274758476,0.7482748643559591,0.8990281828331994,428,321,592,408,408,331,355,346,360,227,318
ABRAXAS2,832.492523433911,0.062362052880735534,0.11819666882600294,0.49816118497875067,0.7548029451676946,781,785,1134,989,1007,861,844,973,931,657,357
ABT1,586.4768150631706,0.1588352647895221,0.17920056147413477,0.17516386840350162,0.4440403535926918,627,516,705,489,986,658,365,659,501,555,480
ABTB1,180.16535031122092,-0.10666965721528457,0.220579064451333,0.37982722608308617,0.665617938753334,206,197,226,221,240,192,81,157,142,142,169
ABTB2,522.5465414197184,0.07958753132344111,0.14665140020890566,0.4456184886551029,0.7165880011970427,246,533,678,467,791,602,500,684,550,497,128
ABTB3,83.39954154189012,-0.11974334314249094,0.2941274690960429,0.3437955089679671,0.6322675210226983,274,38,92,81,51,62,49,73,79,41,75
ACAA1,707.9884554459692,0.17732129005738342,0.18696917640737865,0.14045280236932384,0.3922004273125997,560,598,733,794,1417,897,443,943,659,729,309
ACAA2,1647.4671609970742,0.046096933807970794,0.1129763970455167,0.6056836811888298,0.8225263829270614,2059,1499,1972,1618,2278,1831,1459,1713,1593,1610,852
ACACA,2894.454174854003,-0.12494507129091624,0.1580813418688431,0.2535057816282814,0.5398312757226778,6265,2524,2974,2421,2254,1650,1773,2314,1856,1674,5734
ACACB,144.96273238848744,-0.904053543198832,0.4015689862712214,3.8634727115261506e-4,0.005780669116224343,186,153,255,154,134,96,85,114,58,101,230
ACAD10,364.241830971399,0.05543974896184941,0.16351678687200735,0.6104041611014298,0.8246382428860578,431,363,419,287,397,319,244,438,312,308,414
ACAD11,724.2468988388115,0.021133863814353237,0.15453480598630948,0.8418088866951827,0.9383607803774532,691,777,1117,690,831,660,613,865,685,645,430
ACAD8,555.7656489652359,0.293301156609773,0.16503798062380373,0.013846107767415653,0.08682024314694202,711,462,659,475,712,512,359,690,536,538,508
ACAD9,797.5867251724303,-0.04993320777527938,0.1550788480557688,0.6389461318348124,0.8409492007076296,1034,783,946,817,910,743,673,871,737,722,555
ACAD9-DT,53.17646215749836,-0.1550732570211504,0.3521747493220092,0.23402237932606285,0.5177853706625888,36,15,68,38,49,50,39,51,19,24,75
ACADL,284.57298347228266,-0.03446816116910192,0.13949900773008855,0.7333237968278611,0.8921055485525008,187,291,445,332,347,327,312,306,293,233,15
ACADM,1079.5233641119173,-0.0208980307118181,0.12811902174415232,0.8286589717235865,0.9339545764214867,1328,895,1486,918,1372,1113,835,1069,924,889,1203
ACADS,50.26927495437757,-0.13045684734145988,0.2873243666321272,0.3093675201195617,0.5993414001040351,68,101,76,37,70,48,17,49,46,19,53
ACADSB,692.8683402160864,-0.18941592406524083,0.2011422049757729,0.12860728499466678,0.37276244486043153,579,817,1290,734,749,676,576,684,709,573,103
ACADVL,3053.918469001519,-0.21167466990697256,0.14807543518993072,0.05199305140660971,0.2134693809657165,3370,3419,4217,3154,4779,3011,1848,3168,2356,2689,2392
ACAN,10.495347395745126,0.06191856884853231,0.3426895772112814,0.5721761943720854,0.8035229640445503,26,8,15,6,15,4,3,17,5,1,30
ACAP1,46.07387070723623,-0.046507907094408996,0.2964442436106952,0.6871351713856582,0.8679109751738063,34,27,73,30,39,38,25,20,26,33,35
ACAP2,2347.728710150016,-0.1905549689492963,0.1265812643358589,0.053415004419916604,0.2172743574609212,3255,2682,3688,2503,2572,2214,2252,2248,2244,1589,1166
ACAP3,812.4880639400938,0.6759418888143407,0.3155149147924504,9.207231438059075e-4,0.011396764310801366,936,494,801,477,1198,744,386,1018,598,742,1466
ACAT1,594.839682083563,-0.1003680456612696,0.13546556891542716,0.31777011891603335,0.6072253855787546,620,613,815,618,740,606,444,715,590,406,469
ACAT2,1866.3486775357376,-0.13190741673234785,0.14133950759149255,0.202838151519591,0.48051896429749125,4946,693,1376,899,1429,833,814,990,727,647,5547
ACBD3,2971.3689801374016,0.11759389670400423,0.11589734958190438,0.19823496548881803,0.4752516085760637,2825,2790,4094,2640,4468,3075,2907,3182,3191,2612,1309
ACBD4,57.58632773726943,-0.3531413169821525,0.4184847635694917,0.042819309278713615,0.18840496082633992,54,75,87,127,54,42,23,66,20,33,44
ACBD5,1301.078918498256,-0.09009213062163413,0.1077285732045533,0.29771829492737667,0.5881409054652441,1092,1539,2103,1350,1627,1246,1315,1393,1370,1064,516
ACBD6,815.9667247940935,0.038850573599922875,0.11858242276228483,0.6734061322057734,0.8596082559110163,974,696,1034,717,885,743,539,884,755,603,1099
ACBD7,74.53580314692869,-0.2718383774961032,0.3072819400411781,0.07371725167591216,0.26667099192724314,174,44,90,71,38,44,35,50,25,24,216
ACCS,174.59268339269926,-0.3200174509382692,0.2565792882723585,0.03184296688600314,0.15496717108618374,91,226,412,269,201,124,123,162,124,159,121
ACD,209.1470396882936,-0.3017474679371692,0.2814496475545686,0.04737951220139138,0.2019252411278288,240,149,228,231,210,154,120,136,143,84,474
ACE,39.310705439814484,0.1766374754061548,0.3261436951072894,0.1957570490785593,0.4718056083288193,15,48,87,64,47,43,25,42,31,25,0
ACE2,48.909414989357465,0.11747079579593653,0.38004973299652484,0.30917040113742184,0.5992940926457523,34,29,11,0,83,81,44,73,51,27,1
ACER2,468.50029118972344,0.18659384548107918,0.16804872359253736,0.10530610784172953,0.3293816008612489,287,540,677,471,545,418,526,673,649,467,33
ACER3,1456.0981091341253,-0.4486679308694617,0.23570108220033162,0.003814000448025066,0.03394785686627002,1214,1838,2862,1947,1310,1096,1456,1204,1415,1030,404
ACHE,266.78726389095146,0.6745180167397651,0.21123840729133234,4.201633506992411e-5,8.96026517238305e-4,206,191,284,221,395,305,187,393,276,300,174
ACIN1,5016.03627186951,0.1706788104416869,0.1370199569545846,0.09706211560984583,0.31464429668889227,6630,4441,7127,4504,6882,4496,3126,5767,4442,4234,4608
ACKR1,14.534300835970704,-0.033979028929330475,0.3420244206726278,0.7468785832761565,0.8983848569042834,18,0,15,15,12,7,1,10,6,4,44
ACKR2,115.46761105874374,0.06347895235088938,0.1824432656409258,0.5747932644976996,0.804759478890896,19,111,122,66,180,160,165,158,167,119,1
ACKR3,801.5339584812206,0.531533309215705,0.21282839918644644,5.307340069105202e-4,0.007478646791047988,548,548,883,530,1117,1040,976,1065,1009,924,93
ACKR4,13.135215614820304,-0.06073945762012637,0.3356567453282096,0.5841243992007106,0.80990693497081,9,11,43,8,25,21,4,5,10,15,3
ACLY,9159.247114053594,0.07438731293731342,0.12213145860624217,0.4292109934863491,0.7060353826455579,15078,7229,8404,6922,9378,6244,5767,8119,6300,6029,18037
ACO1,1775.9370160210817,-0.036748600987316554,0.10665787970650058,0.6683886990782439,0.8572666485297271,2733,1784,2269,1945,2040,1496,1435,1653,1690,1512,1327
ACO2,1944.3053537415724,0.329281415525979,0.12308523717756249,0.0010895480453221812,0.012977771445616987,2498,1785,2494,1977,2228,1730,1258,2159,1671,1817,1720
ACOT1,94.35862829529505,-0.12845063821435418,0.23210062186925268,0.30352008781566725,0.5931066085840334,111,80,110,139,130,82,50,70,73,80,141
ACOT11,68.982304926250393,-0.05912808422140888,0.2591280577817771,0.6196724663188757,0.8306406713167365,105,53,114,49,70,35,69,62,49,31,80
ACOT13,476.4781567377364,-0.294324898385012,0.2533095777492756,0.04343987977065942,0.19018330162833536,456,509,935,534,544,456,415,395,397,388,249
ACOT2,189.10257598678834,0.07557651905256749,0.17044717753846972,0.4963183447384646,0.7530689432478765,203,158,226,164,254,224,119,203,132,176,266
ACOT4,8.491689692902609,-0.6332747512752986,0.9407568822737253,0.0027110079977325013,0.026166711876379947,6,19,14,15,7,6,1,0,0,2,31
ACOT7,1023.820598816418,0.14070936196682643,0.1260026468790792,0.14687363890274852,0.40145621581242347,1459,618,1042,587,1046,696,527,791,636,656,2798
ACOT8,259.46568159789024,0.092628537938992,0.15276394738739207,0.38533025438524865,0.6711426502268574,229,211,351,246,334,238,192,298,252,220,274
ACOT9,1294.4090765426824,0.3230395898269632,0.15853799102137903,0.006110248328696828,0.04872441575576869,1578,998,1360,1030,1912,1431,1098,1517,1269,1302,809
ACOX1,2410.702921682935,-0.05585579748713956,0.12634697947228346,0.5604536755978523,0.7949758303714695,1883,3246,3813,3008,2910,2790,2577,2764,2686,2294,245
ACOX2,38.766987448532475,-0.08737431926934455,0.3104540401618329,0.4657067714915099,0.7316872102338382,24,47,74,45,17,32,23,29,26,7,65
ACOX3,438.06888229218913,0.36378274062574745,0.2739702362027561,0.021074417725868825,0.11687167957042764,396,395,366,335,548,506,322,552,482,510,282
ACOXL,24.62054082738182,-0.2261355718120127,0.42707241497593523,0.11232415718396804,0.34213585856583334,37,14,23,54,17,14,19,21,19,14,3
ACOXL-AS1,17.891480393595746,-0.2299331526580934,0.39239573425728086,0.11619163140714334,0.34977194053920535,17,20,48,42,17,12,15,11,9,19,2
ACP1,2347.9144920749386,0.022525848618543936,0.09604641986002752,0.7766578516378193,0.9127055251353584,2906,2066,3174,2330,3112,2352,1952,2342,2201,2039,1664
ACP2,993.7204442924718,-0.24050585818647502,0.18178861161043902,0.04952736946387206,0.2075823331595722,1141,1268,1716,1251,1185,813,647,1032,775,785,449
ACP6,486.74183903279487,0.012043503943188231,0.18349352557275836,0.9143898960368304,0.966417534993006,512,476,896,495,445,347,313,346,373,388,471
ACRBP,14.237788109212534,-0.09427043821824313,0.3427668117585972,0.4188756141749993,0.6983909141781466,0,19,19,24,29,7,10,17,17,6,7
ACSBG1,18.780895258053672,-0.1476272724455412,0.45684994230017595,0.16455227409234596,0.427280078196575,24,0,23,7,0,4,4,13,8,0,29
ACSF2,435.0497521162822,-0.29243946316834013,0.19200415135157323,0.0232602196498259,0.12567686352707236,238,528,763,645,594,456,362,440,356,410,160
ACSF3,428.44234286320983,-0.0878705806802731,0.189554188856112,0.4470959098455199,0.717915905625588,545,365,636,503,441,374,275,579,410,270,356
ACSL1,686.3744465168858,-0.16320461052709714,0.16064890887145059,0.14407894938287544,0.39732673480970854,862,908,1093,854,766,632,647,669,664,584,72
ACSL3,4448.5281147873275,-0.24269425237442352,0.1379550265479194,0.021691224746440613,0.11937052130870283,7092,4978,7855,5279,4593,3482,3655,4086,3547,2886,2714
ACSL4,4175.6056449564285,0.07234599381146763,0.13951887697993473,0.47650175417082313,0.739173698605189,4105,3375,5716,3439,5157,4136,4962,4523,4240,3800,2477
ACSL5,17.449310748848323,0.07026773611182255,0.33329095210485643,0.5348577287341489,0.7782375700943551,39,29,8,20,13,19,14,13,15,8,3
ACSM3,100.07935483609862,0.2838588516824861,0.30007371103607056,0.06322688392134143,0.2425924879868013,16,65,163,72,157,110,133,162,153,109,14
ACSS2,954.6968884362976,-0.03535695246515362,0.13768154948134753,0.7249758682851183,0.887427702944712,1243,810,1099,773,739,516,411,674,525,403,2916
ACSS3,803.3969559724494,-0.4693560724210528,0.1966937923663697,9.482029717347029e-4,0.011641980310313285,790,955,1464,1295,858,608,638,682,712,507,586
ACTA1,807.4457418755645,1.5261015381251786,0.19692802754313415,1.2668607543638914e-16,2.3504489862631397e-14,301,476,581,343,1178,1086,706,1495,959,981,249
ACTA2,6453.365130942183,2.043691556203183,0.11383639075956789,4.99780665815105e-74,2.086334389445156e-70,4062,2111,3360,2595,11120,8332,7371,11312,8736,7865,3208
ACTA2-AS1,13.080241358280006,0.03982109821655835,0.3694265841652606,0.682913280376779,0.8654588612425209,12,10,0,5,4,5,8,30,13,5,1
ACTB,60300.25421403474,0.8734651448381116,0.17980196861436254,5.103227666789298e-8,2.315589553805644e-6,72144,31531,55095,36342,61204,58563,55931,70916,58155,58370,96368
ACTBL2,88.43111816915693,0.7854095566396905,0.4794302405924899,0.0019689540803151085,0.020510040694386576,64,61,67,26,172,116,142,95,154,72,0
ACTC1,10619.95394506974,2.9660978392430937,0.14511562400374473,9.059804367717539e-95,5.042687111071582e-91,2322,1868,3361,2193,19950,14913,14611,17481,14844,16456,4512
ACTG1,48849.27333499116,0.8322522611513393,0.11737398056767973,9.464696335711106e-14,1.1794141747291347e-11,58713,27120,41556,29628,52832,48386,38882,55921,43137,45399,96305
ACTG1P10,7.509445097152243,0.1282246069742003,0.4078865028251973,0.2541974894914699,0.5404366793390075,11,9,4,6,8,0,3,13,6,21,2
ACTG1P25,33.39236554824681,0.03313867731329598,0.3192447114763248,0.7642581516118532,0.9060725942758906,7,14,24,7,5,17,5,5,14,29,73
ACTG1P3,7.8758501865067245,-0.1131673687795824,0.40405207340335664,0.2942089690761763,0.5847757845058911,14,14,32,3,3,13,2,12,2,2,0
ACTG2,979.4207014564786,1.1911709270056674,0.1822009121896211,1.802551254807386e-12,1.905000053973021e-10,1226,382,650,444,1541,1188,999,1294,1026,769,967
ACTL6A,1333.581824010588,0.04734828112596753,0.14154012509547964,0.6426020177826384,0.8426392722580882,1861,1064,1613,1213,1714,1261,1082,1406,1181,1135,1223
